_id,PK,CCR,AGE,GENDER,RACE,MONTHNUM,DAY,YEAR,DATE,MONTHYEAR,MONTHNAME,DAYOFWEEK,TIME,NUMMIN,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,group,zone_name,ISSAMEDISTANCE
7638,1984125,17068355,53,Male,Black,4,21,2017,21-Apr-17,Apr-17,April,Sunday,05:30:00,330,"900 Block 2nd AV Pittsburgh, PA 15219",2701 Simple Assault. / 2706 Terroristic Threats.,"3000 Block Wadlow ST Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.02928181,40.47198755,50-59,North Side,6979
7637,1984124,17064309,45,Male,Black,4,21,2017,21-Apr-17,Apr-17,April,Saturday,14:18:00,858,"Tripod WY & Shetland ST Pittsburgh, PA 15206",2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,"500 Block Finley ST Pittsburgh, PA 15206",Larimer,5,1208,9,2,-79.9080189,40.46042852,40-49,East End (North),117
7685,1984172,15239864,35,Male,Black,4,21,2017,21-Apr-17,Apr-17,April,Friday,20:00:00,1200,"900 Block 2nd AV Pittsburgh, PA 15219",3921(a) Theft by Unlawful Taking or Disposition - Movable item,"600 Block Penn AV Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.00178951,40.44258495,30-39,Downtown/Hill/Strip,2118
7649,1984136,17071626,32,Male,Black,4,21,2017,21-Apr-17,Apr-17,April,Thursday,01:55:00,115,"S 21st ST & Josephine ST Pittsburgh, PA 15203",5121 Escape. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount / 4914 False Identification to Law Enforcement Authorities,"2000 Block S 18th ST Pittsburgh, PA 15203",South Side Slopes,3,1706,3,4,-79.97763695,40.42339236,30-39,South Side,494017
7627,1984112,17071963,28,Female,Black,4,21,2017,21-Apr-17,Apr-17,April,Wednesday,14:00:00,840,"7300 Block Frankstown AV Pittsburgh, PA 15208",2702 Aggravated Assault. / 3925 Receiving Stolen Property. / 5104 Resisting Arrest or Other Law Enforcement. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 9501 Bench Warrant / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"Collier ST & Frankstown AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89190208,40.45639295,20-29,East End (North),3945426
7661,1984148,17072050,21,Male,Black,4,21,2017,21-Apr-17,Apr-17,April,Tuesday,16:35:00,995,"900 Block Thompson Run RD West Mifflin, PA 15122",9501 Bench Warrant,"5900 Block Keefe ST Pittsburgh, PA 15207",Lincoln Place,4,3102,5,3,-79.9095229,40.36471313,20-29,East End (South)/North Side,1346
7604,1984089,17005615,66,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Monday,20:35:00,1235,"900 Block 2nd AV Pittsburgh, PA 15219",4106 Access Device Fraud,"300 Block E North AV Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.00964027,40.45494869,60 and greater,North Side,5432
7629,1984116,17038664,49,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Friday,08:00:00,480,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"2800 Block California AV Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.03535884,40.46880098,40-49,North Side,6242
7605,1984090,17007484,40,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Tuesday,09:26:00,566,"400 Block Grant ST Pittsburgh, PA 15219",3925 Receiving Stolen Property.,"900 Block N Murtland ST Pittsburgh, PA 15208",Homewood North,5,1301,9,2,-79.90104113,40.45848802,40-49,East End (North),14602
7633,1984120,17059279,35,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Tuesday,23:30:00,1410,"900 Block 2nd AV Pittsburgh, PA 15219",3928 Unauthorized Use of Automobile and Other Vehicles.,"1600 Block Crucible ST Pittsburgh, PA 15220",Crafton Heights,6,2814,2,5,-80.05178395,40.44750233,30-39,West End/South Side,4750
7631,1984118,17039448,31,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Sunday,21:30:00,1290,"2600 Block Wylie AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"3200 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1609,2,5,-80.05031095,40.46153932,30-39,South Side,5304
7632,1984119,17040059,30,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Monday,23:40:00,1420,"900 Block Second AV Pittsburgh, PA 15219",1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(31) Marijuana: Possession Small Amount,"100 Block Charles ST Pittsburgh, PA 15210",Knoxville,3,3001,3,4,-79.98815784,40.41659309,30-39,South Side,3183
7634,1984121,17059480,28,Female,Black,4,20,2017,20-Apr-17,Apr-17,April,Wednesday,01:20:00,80,"600 Block 1st AV Pittsburgh, PA 15219",3304 Criminal Mischief. / 3921 Theft by Unlawful Taking or Disposition. / 5506 Loitering and Prowling at Night / 2709(b) Stalking / 3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),"3500 Block Brighton RD Pittsburgh, PA 15212",Brighton Heights,1,2708,1,1,-80.0309005,40.47948376,20-29,North Side,7348
7671,1984158,17071092,27,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Friday,12:55:00,775,"2000 Block Centre AV Pittsburgh, PA 15219",2701 Simple Assault.,"1800 Block Bentley DR Pittsburgh, PA 15219",Terrace Village,2,511,6,3,-79.97410769,40.44084715,20-29,Downtown/Hill/Strip,661
